liquor_id,liquor_name,ingredient_id,ingredient_name,ingredient_type,origin_ingredient_id,origin_ingredient_name,origin_type
423,beer,4768,pheasant,other,2793,garlic,pungent
423,beer,4527,orange_roughy,other,2793,garlic,pungent
423,beer,3920,lovage,other,2793,garlic,pungent
423,beer,114,amaranth,other,2793,garlic,pungent
423,beer,5203,rapini,other,2793,garlic,pungent
423,beer,3125,grouper,other,2793,garlic,pungent
423,beer,6005,soybean_oil,asian,2793,garlic,pungent
423,beer,2167,dumpling,other,2793,garlic,pungent
423,beer,1023,catfish,seafood,2793,garlic,pungent
423,beer,5919,snail,other,2793,garlic,pungent
423,beer,1041,celery,other,4478,onion,pungent
423,beer,6545,turmeric,other,4478,onion,pungent
423,beer,5147,purslane,other,4478,onion,pungent
423,beer,5027,potato,other,4478,onion,pungent
423,beer,4132,meatloaf,other,4478,onion,pungent
423,beer,2981,green_bell_pepper,other,4478,onion,pungent
423,beer,6441,tomato,other,4478,onion,pungent
423,beer,682,breadfruit,other,4478,onion,pungent
423,beer,4527,orange_roughy,other,4478,onion,pungent
423,beer,50,acorn,other,4478,onion,pungent
423,beer,3125,grouper,other,4478,onion,pungent
423,beer,6326,tamale,other,4478,onion,pungent
423,beer,57,adzuki_bean,other,4478,onion,pungent
423,beer,1081,chayote,other,4478,onion,pungent
423,beer,6079,squab,other,4478,onion,pungent
423,beer,1855,deer,other,4478,onion,pungent
423,beer,6212,summer_savory,other,4478,onion,pungent
423,beer,6086,squirrel,other,4478,onion,pungent
423,beer,1489,conch,other,4478,onion,pungent
423,beer,5330,red_rice,other,4478,onion,pungent
423,beer,5203,rapini,other,4478,onion,pungent
423,beer,6229,swede,other,4478,onion,pungent
423,beer,4821,pigeon_pea,other,4478,onion,pungent
423,beer,3562,kelp,other,4478,onion,pungent
423,beer,4330,mushroom,other,4478,onion,pungent
423,beer,1005,carrot,other,4478,onion,pungent
423,beer,6255,sweet_marjoram,other,4478,onion,pungent
423,beer,3572,kidney_bean,other,4478,onion,pungent
423,beer,2167,dumpling,other,4478,onion,pungent
423,beer,1017,cassava,other,4478,onion,pungent
423,beer,1018,cassia,other,4478,onion,pungent
423,beer,4733,pepper,other,4478,onion,pungent
4026,madeira_wine,4469,olive,other,135,anchovy,seafood
4026,madeira_wine,966,caper,other,135,anchovy,seafood
4026,madeira_wine,6441,tomato,other,556,bluefish,seafood
4026,madeira_wine,3840,lime,other,1023,catfish,seafood
4026,madeira_wine,5027,potato,other,1023,catfish,seafood
4026,madeira_wine,2981,green_bell_pepper,other,1023,catfish,seafood
4026,madeira_wine,1576,cooking_oil,other,1023,catfish,seafood
4026,madeira_wine,3720,lemon,other,1023,catfish,seafood
4026,madeira_wine,2793,garlic,pungent,1023,catfish,seafood
4026,madeira_wine,5809,shrimp,seafood,1023,catfish,seafood
4026,madeira_wine,4699,peanut_oil,other,1023,catfish,seafood
4026,madeira_wine,5759,shallot,other,1023,catfish,seafood
4026,madeira_wine,6083,squid,seafood,1395,clam,seafood
4026,madeira_wine,5668,scallop,other,1395,clam,seafood
4026,madeira_wine,5027,potato,other,1395,clam,seafood
4026,madeira_wine,5063,prawn,other,1395,clam,seafood
4026,madeira_wine,5579,saffron,other,1395,clam,seafood
4026,madeira_wine,3148,haddock,other,1395,clam,seafood
4026,madeira_wine,3597,kombu,other,1395,clam,seafood
4026,madeira_wine,1645,crab,other,1395,clam,seafood
4026,madeira_wine,4572,oyster,other,1395,clam,seafood
4026,madeira_wine,4620,parsley,other,1395,clam,seafood
4026,madeira_wine,5809,shrimp,seafood,1395,clam,seafood
4026,madeira_wine,3899,lobster,other,1395,clam,seafood
4026,madeira_wine,2364,fish,seafood,1395,clam,seafood
4026,madeira_wine,6787,water,other,1679,crayfish,seafood
4026,madeira_wine,3720,lemon,other,1679,crayfish,seafood
4026,madeira_wine,781,butter,other,1679,crayfish,seafood
4026,madeira_wine,1005,carrot,other,1679,crayfish,seafood
4026,madeira_wine,1041,celery,other,1679,crayfish,seafood
4026,madeira_wine,4620,parsley,other,1794,cuttlefish,seafood
4026,madeira_wine,6083,squid,seafood,2364,fish,seafood
4026,madeira_wine,5668,scallop,other,2364,fish,seafood
4026,madeira_wine,5063,prawn,other,2364,fish,seafood
4026,madeira_wine,5579,saffron,other,2364,fish,seafood
4026,madeira_wine,1645,crab,other,2364,fish,seafood
4026,madeira_wine,1395,clam,seafood,2364,fish,seafood
4026,madeira_wine,1786,curry_leaf,other,2364,fish,seafood
4026,madeira_wine,3899,lobster,other,2364,fish,seafood
4026,madeira_wine,6083,squid,seafood,5809,shrimp,seafood
4026,madeira_wine,5668,scallop,other,5809,shrimp,seafood
4026,madeira_wine,4460,okra,other,5809,shrimp,seafood
4026,madeira_wine,6093,star_fruit,other,5809,shrimp,seafood
4026,madeira_wine,1645,crab,other,5809,shrimp,seafood
4026,madeira_wine,6159,striped_bass,other,5809,shrimp,seafood
4026,madeira_wine,3148,haddock,other,5809,shrimp,seafood
4026,madeira_wine,1395,clam,seafood,5809,shrimp,seafood
4026,madeira_wine,3125,grouper,other,5809,shrimp,seafood
4026,madeira_wine,3899,lobster,other,5809,shrimp,seafood
4026,madeira_wine,6300,swordfish,seafood,5809,shrimp,seafood
4026,madeira_wine,6749,vermouth,other,5809,shrimp,seafood
4026,madeira_wine,1023,catfish,seafood,5809,shrimp,seafood
4026,madeira_wine,5668,scallop,other,6083,squid,seafood
4026,madeira_wine,5063,prawn,other,6083,squid,seafood
4026,madeira_wine,5579,saffron,other,6083,squid,seafood
4026,madeira_wine,3597,kombu,other,6083,squid,seafood
4026,madeira_wine,5809,shrimp,seafood,6083,squid,seafood
4026,madeira_wine,1395,clam,seafood,6083,squid,seafood
4026,madeira_wine,3899,lobster,other,6083,squid,seafood
4026,madeira_wine,2364,fish,seafood,6083,squid,seafood
4026,madeira_wine,1125,cherry_tomato,other,6300,swordfish,seafood
4026,madeira_wine,2310,fennel,other,6300,swordfish,seafood
4026,madeira_wine,966,caper,other,6300,swordfish,seafood
4026,madeira_wine,328,basil,other,6300,swordfish,seafood
4026,madeira_wine,6441,tomato,other,6300,swordfish,seafood
4026,madeira_wine,3720,lemon,other,6300,swordfish,seafood
4026,madeira_wine,5809,shrimp,seafood,6300,swordfish,seafood
4026,madeira_wine,4635,pasta,other,6300,swordfish,seafood
4026,madeira_wine,5759,shallot,other,6300,swordfish,seafood
4937,plum_wine,4469,olive,other,135,anchovy,seafood
4937,plum_wine,966,caper,other,135,anchovy,seafood
4937,plum_wine,6441,tomato,other,556,bluefish,seafood
4937,plum_wine,3840,lime,other,1023,catfish,seafood
4937,plum_wine,5027,potato,other,1023,catfish,seafood
4937,plum_wine,2981,green_bell_pepper,other,1023,catfish,seafood
4937,plum_wine,1576,cooking_oil,other,1023,catfish,seafood
