liquor_id,liquor_name,ingredient_id,ingredient_name,ingredient_type,origin_ingredient_id,origin_ingredient_name,origin_type
159,apple_brandy,5809,shrimp,seafood,1023,catfish,seafood
159,apple_brandy,4699,peanut_oil,other,1023,catfish,seafood
159,apple_brandy,6083,squid,seafood,1395,clam,seafood
159,apple_brandy,5668,scallop,other,1395,clam,seafood
159,apple_brandy,5063,prawn,other,1395,clam,seafood
159,apple_brandy,5579,saffron,other,1395,clam,seafood
159,apple_brandy,3597,kombu,other,1395,clam,seafood
159,apple_brandy,1645,crab,other,1395,clam,seafood
159,apple_brandy,4572,oyster,other,1395,clam,seafood
159,apple_brandy,4620,parsley,other,1395,clam,seafood
159,apple_brandy,3899,lobster,other,1395,clam,seafood
159,apple_brandy,2364,fish,seafood,1395,clam,seafood
159,apple_brandy,1395,clam,seafood,2364,fish,seafood
159,apple_brandy,1786,curry_leaf,other,2364,fish,seafood
159,apple_brandy,6159,striped_bass,other,5809,shrimp,seafood
159,apple_brandy,3125,grouper,other,5809,shrimp,seafood
159,apple_brandy,6300,swordfish,seafood,5809,shrimp,seafood
159,apple_brandy,6749,vermouth,other,5809,shrimp,seafood
159,apple_brandy,1023,catfish,seafood,5809,shrimp,seafood
519,blackberry_brandy,5809,shrimp,seafood,1023,catfish,seafood
519,blackberry_brandy,4699,peanut_oil,other,1023,catfish,seafood
519,blackberry_brandy,6083,squid,seafood,1395,clam,seafood
519,blackberry_brandy,5668,scallop,other,1395,clam,seafood
519,blackberry_brandy,5063,prawn,other,1395,clam,seafood
519,blackberry_brandy,5579,saffron,other,1395,clam,seafood
519,blackberry_brandy,3597,kombu,other,1395,clam,seafood
519,blackberry_brandy,1645,crab,other,1395,clam,seafood
519,blackberry_brandy,4572,oyster,other,1395,clam,seafood
519,blackberry_brandy,4620,parsley,other,1395,clam,seafood
519,blackberry_brandy,3899,lobster,other,1395,clam,seafood
519,blackberry_brandy,2364,fish,seafood,1395,clam,seafood
519,blackberry_brandy,1395,clam,seafood,2364,fish,seafood
519,blackberry_brandy,1786,curry_leaf,other,2364,fish,seafood
519,blackberry_brandy,6159,striped_bass,other,5809,shrimp,seafood
519,blackberry_brandy,3125,grouper,other,5809,shrimp,seafood
