node_id,name,id,node_type,is_hub
159,apple_brandy,,liquor,hub
423,beer,,liquor,hub
519,blackberry_brandy,,liquor,hub
662,brandy,,liquor,hub
1069,champagne,,liquor,hub
1112,cherry_brandy,,liquor,hub
2836,gin,,liquor,hub
2837,ginger,,liquor,hub
2860,ginkgo_nut,,liquor,hub
4026,madeira_wine,,liquor,hub
4702,pear_brandy,,liquor,hub
4930,plum_brandy,,liquor,hub
4937,plum_wine,,liquor,hub
5016,port_wine,,liquor,hub
5345,red_wine,,liquor,hub
5534,rose_wine,,liquor,hub
5558,rum,,liquor,hub
5587,sake,,liquor,hub
5676,scotch_whisky,,liquor,hub
6031,sparkling_wine,,liquor,hub
6763,vodka,,liquor,hub
6918,white_wine,,liquor,hub
7017,wine,,liquor,hub
