alcohol_id,ingredient_id,score
5016,6299,4382
5016,4438,89
5016,361,708
5016,2335,235
5016,6631,2471
5016,4659,1807
5016,5967,680
5016,5743,143
5016,1083,2627
5016,823,582
5016,5205,2131
5016,537,5709
5016,4961,73
5016,223,425
5016,3717,15
5016,2202,278
5016,4013,23
5016,4928,5742
5016,2320,402
5016,4204,820
5016,3920,65
5016,1395,190
5016,4701,204
5016,1783,10
5016,4460,47
5016,1411,803
5016,6775,319
5016,321,220
5016,438,71
5016,5108,1564
5016,4084,215
5016,4744,1110
5016,158,52062
5016,2947,40373
5016,345,356
5016,5569,167
5016,88,61
5016,2331,3033
5016,4150,6440
5016,6791,210
5016,6140,57
5016,1426,47182
5016,1608,502
5016,1390,33
5016,4243,431
5016,960,458
5016,5096,669
5016,4494,2426
5016,5027,3684
5016,3839,356
5016,5328,259
5016,4343,191
5016,975,1782
5016,86,61
5016,3133,7731
5016,5190,91
5016,1018,57
5016,1664,753
5016,5535,152
5016,1027,198
5016,5526,113
5016,4444,739
5016,5527,10
5016,6032,702
5016,1138,653
5016,6756,590
5016,1111,27
5016,4966,738
5016,1645,43
5016,3840,176
5016,302,8317
5016,6287,36
5016,991,528
5016,4615,14408
5016,6131,22625
5016,1458,10837
5016,4733,511
5016,483,908
5016,5676,33038
5016,4620,16
5016,4469,1881
5016,1430,1172
5016,3720,109
5016,6004,8001
5016,1895,69
5016,1368,1364
5016,1089,497
5016,1041,399
5016,510,146
5016,3596,106
5016,6349,37
5016,2364,11
5016,6409,84
5016,4045,33
5016,4663,2697
5016,4330,4422
5016,175,5997
5016,5285,105
5016,4052,22070
5016,429,19
5016,2914,646
5016,213,96
5016,3290,1786
5016,518,711
5016,5183,98
5016,5431,2427
5016,4478,1150
5016,328,169
5016,781,4088
5016,3636,15
5016,2955,793
5016,4658,74
5016,2980,409
5016,7087,42
5016,4600,11704
5016,6441,12248
5016,547,209
5016,5579,24
5016,3727,264
5016,5171,2833
5016,6367,35769
5016,4350,69
5016,1588,1035
5016,1005,218
5016,4948,23
5016,4716,32
5016,326,96
5016,3572,230
5016,3782,367
5016,4123,12
5016,4309,1128
5016,4687,1010
5016,1595,3798
5016,3041,161
5016,3128,7483
5016,5424,60
5016,1361,17627
5016,4545,49
5016,4846,18415
5016,854,2596
4937,6299,4238
4937,4438,62
4937,361,558
4937,2335,235
4937,6631,2223
4937,4659,1676
4937,5967,400
4937,5743,102
4937,1083,2558
4937,823,476
4937,5205,233
4937,537,4514
4937,4961,19
4937,223,134
4937,3717,15
4937,2202,251
4937,4013,22
4937,4928,4295
4937,2320,394
4937,4204,705
4937,3920,63
4937,1395,190
4937,4701,189
4937,4460,43
4937,1411,773
4937,6775,274
4937,321,93
4937,438,71
4937,5108,1507
4937,4084,207
4937,4744,1061
4937,158,39669
4937,2947,34150
4937,345,170
4937,5569,137
4937,88,54
4937,2331,2403
4937,4150,6011
4937,6791,171
4937,6140,57
4937,1426,36883
4937,1608,502
4937,1390,33
4937,4243,410
4937,960,435
4937,5096,584
4937,4494,2104
4937,5027,2807
4937,3839,170
4937,5328,237
4937,4343,179
4937,975,1629
4937,86,58
4937,3133,7332
4937,5190,91
4937,1018,54
4937,1664,482
4937,5535,147
4937,1027,180
4937,5526,112
4937,4444,463
4937,6032,677
4937,1138,346
4937,6756,241
4937,1111,21
4937,4966,576
4937,1645,34
4937,3840,163
4937,302,6731
4937,6287,36
4937,991,439
4937,4615,13933
4937,6131,18432
4937,1458,8683
4937,4733,444
4937,483,765
4937,5676,27809
4937,4469,1464
4937,1430,1002
4937,3720,99
4937,6004,7187
4937,1895,63
4937,1368,782
4937,1041,255
4937,510,95
4937,3596,99
4937,6349,35
4937,2364,11
4937,6409,82
4937,4045,30
4937,4663,2524
4937,4330,3438
4937,175,4426
4937,4052,17882
4937,2914,72
4937,213,92
4937,3290,1023
4937,518,447
4937,5183,86
4937,5431,2101
4937,4478,795
4937,328,162
4937,781,3589
4937,3636,15
4937,2955,636
4937,4658,74
4937,2980,170
4937,7087,33
4937,4600,9499
4937,6441,8820
4937,547,200
4937,5579,23
4937,3727,252
4937,5171,1693
4937,6367,29522
4937,4350,41
4937,1588,911
4937,1005,164
4937,4716,24
4937,326,96
4937,3572,105
4937,3782,312
4937,4123,12
4937,4309,1078
4937,4687,839
4937,1595,3149
4937,3041,133
4937,3128,4625
4937,5424,54
4937,1361,9441
4937,4545,48
4937,4846,13298
4937,854,2517
6031,6299,4740
6031,4438,62
6031,361,1500
6031,2335,265
6031,6631,2223
6031,4659,1805
6031,5967,400
6031,5743,102
6031,1083,4836
6031,823,476
6031,5205,1984
6031,537,10069
6031,4961,19
6031,223,134
6031,3717,21
6031,2202,412
6031,4013,22
6031,4928,6573
6031,2320,491
6031,4204,933
6031,3920,63
6031,1395,216
6031,4701,984
6031,1783,11
6031,4460,43
6031,4521,16
6031,1411,862
6031,6775,274
6031,321,93
6031,438,71
6031,5108,1622
6031,4084,511
6031,4744,1061
6031,158,55533
6031,2947,41564
6031,345,170
6031,5569,137
6031,88,54
6031,2331,2403
6031,4150,8268
6031,6791,171
6031,6140,77
6031,1426,44538
6031,1608,1039
6031,1390,33
6031,4243,662
6031,960,509
6031,5096,584
6031,4494,2816
6031,5027,3022
6031,3839,170
6031,5328,237
6031,4343,383
6031,975,2665
6031,86,58
6031,3133,12332
6031,5190,91
6031,1018,54
6031,1664,1131
6031,3035,16
6031,5535,147
6031,1027,180
6031,5526,137
6031,4444,463
6031,5527,10
6031,6032,1085
6031,1138,389
6031,6756,241
6031,1111,21
6031,4966,790
6031,1645,34
6031,3840,163
6031,302,11152
6031,6287,36
6031,991,657
6031,4615,15143
6031,6131,25000
6031,1458,9162
6031,4733,506
6031,483,868
6031,5676,35304
6031,4469,1464
6031,1430,1284
6031,3720,314
6031,6004,7187
6031,1895,63
6031,1368,782
6031,1041,255
6031,3632,191
6031,510,95
6031,3596,99
6031,6349,35
6031,2364,11
6031,6409,82
6031,4045,164
6031,4663,3744
6031,4330,3656
6031,175,8987
6031,5285,15
6031,4052,19045
6031,2914,72
6031,213,108
6031,3290,1023
6031,518,554
6031,5183,86
6031,5431,2276
6031,4478,861
6031,328,327
6031,781,4243
6031,3636,15
6031,2955,1080
6031,4658,74
6031,2980,170
6031,7087,44
6031,4600,12311
6031,6441,8820
6031,547,239
6031,5579,42
6031,3727,252
6031,5171,2753
6031,6367,32464
6031,4350,68
6031,1588,1665
6031,1005,164
6031,4716,24
6031,326,490
6031,3572,105
6031,3782,537
6031,4123,12
6031,4309,1170
6031,4687,839
6031,1595,3385
6031,3041,133
6031,6788,153
6031,3128,6358
6031,5424,54
6031,1361,14422
6031,4545,65
6031,4846,13298
6031,854,2773
2836,2331,14
2836,4243,11
2836,483,13
2836,4663,16
2836,4330,10
2836,4600,14
2836,6441,48
159,6299,380
159,4438,35
159,361,47
159,2335,141
159,6631,452
159,4659,33
159,5967,32
159,5743,47
159,1083,106
159,823,76
159,5205,414
159,537,1301
159,2202,40
159,4928,817
159,4204,40
159,1395,28
159,4701,158
159,1411,363
159,321,114
159,5567,29
159,4084,66
159,4744,212
159,158,7601
159,2947,7445
159,345,375
159,5569,11
159,88,13
159,2331,273
159,4150,344
159,1426,4817
159,1608,136
159,4243,37
159,960,82
159,5096,71
159,4494,194
159,5027,510
159,3839,375
159,4343,27
159,975,135
159,86,31
159,3133,2546
159,5190,10
159,1018,102
159,1664,276
159,5535,72
159,4444,252
159,1138,33
159,6756,50
159,4966,14
159,3840,78
159,302,616
159,991,55
159,4615,1405
159,6131,2393
159,1458,1282
159,4733,67
159,483,486
159,5676,4473
159,4620,23
159,4469,249
159,1430,50
159,6004,562
159,1895,19
159,1368,198
159,510,104
159,668,36
159,3596,71
159,6409,40
159,4045,13
159,4663,365
159,4330,594
159,175,771
159,4052,1655
159,2914,340
159,213,49
159,3290,84
159,518,201
159,5431,314
159,4478,15
159,781,561
159,2955,170
159,4658,61
159,2980,458
159,6051,29
159,4600,606
159,6441,1762
159,547,19
159,3727,16
159,5171,273
159,6367,2963
159,1588,150
159,1005,11
159,1488,429
159,326,56
159,3572,199
159,3782,154
159,4687,700
159,1595,51
159,3128,802
159,1361,4233
159,4846,2190
159,854,1545
1112,6299,208
1112,4438,17
1112,361,17
1112,2335,90
1112,6631,156
1112,5967,22
1112,5743,40
1112,1083,45
1112,823,40
1112,5205,232
1112,537,45
1112,2202,11
1112,4928,230
1112,4204,38
1112,1395,10
1112,4701,111
1112,1411,200
1112,321,87
1112,5567,13
1112,4744,25
1112,158,2727
1112,2947,2291
1112,345,52
1112,1426,3165
1112,1608,40
1112,960,10
1112,5096,12
1112,4494,36
1112,5027,441
1112,3839,52
1112,4343,23
1112,975,51
1112,3133,696
1112,5190,10
1112,1018,42
1112,1664,188
1112,5535,12
1112,4444,73
1112,1138,26
1112,6756,40
1112,3840,39
1112,302,13
1112,4615,860
1112,6131,372
1112,1458,1000
1112,483,239
1112,5676,2407
1112,4469,23
1112,1430,33
1112,6004,378
1112,1368,82
1112,510,80
1112,668,29
1112,3596,40
1112,6409,15
1112,4663,198
1112,4330,246
1112,175,40
1112,4052,278
1112,2914,45
1112,213,43
1112,3290,33
1112,518,82
1112,5431,177
1112,4478,11
1112,781,438
1112,2955,90
1112,2980,84
1112,4600,315
1112,6441,558
1112,547,13
1112,5171,11
1112,6367,1265
1112,1588,117
1112,326,38
1112,3572,13
1112,4687,365
1112,1595,30
1112,3128,47
1112,1361,515
1112,4846,803
1112,854,120
423,6299,23797
423,4438,1240
423,6545,44
423,361,8067
423,2335,12579
423,6631,8395
423,4659,5596
423,5967,1979
423,5743,2158
423,1033,304
423,667,49
423,1083,17058
423,823,4598
423,6083,313
423,5759,785
423,5205,14675
423,537,46202
423,4961,301
423,223,5117
423,3717,1262
423,2202,1504
423,4013,25
423,4928,16570
423,2320,2073
423,336,81
423,4204,20062
423,3920,141
423,1395,3493
423,6894,20
423,4701,993
423,1783,66
423,4460,1782
423,4521,12
423,1121,10
423,709,633
423,1411,949
423,6775,478
423,321,9374
423,438,70
423,5567,801
423,5108,10824
423,4084,1832
423,4744,11846
423,158,167644
423,2947,107489
423,345,7708
423,2210,51
423,5569,949
423,88,4777
423,2331,1469
423,4150,38706
423,6140,150
423,1426,166778
423,1608,1214
423,1390,387
423,4243,3749
423,960,1097
423,5096,1520
423,4494,22479
423,5027,45687
423,3839,4877
423,2793,495
423,5328,1496
423,4343,2199
423,4625,692
423,975,11706
423,86,202
423,3133,61447
423,5190,159
423,1018,1412
423,1664,6949
423,3035,162
423,5535,1307
423,6337,10
423,1027,542
423,5526,570
423,4444,10205
423,6032,4491
423,1138,23897
423,6756,2820
423,1111,1248
423,4966,55393
423,1645,314
423,1768,3150
423,3840,986
423,302,55891
423,6287,710
423,991,1384
423,5454,13
423,4615,24941
423,6131,88014
423,1458,185980
423,4733,2028
423,483,16160
423,5676,53174
423,4620,145
423,6266,741
423,4469,6404
423,1430,10260
423,3720,4404
423,3860,1139
423,6004,59682
423,1895,588
423,1368,4270
423,1089,2158
423,1041,8016
423,3632,1470
423,510,410
423,668,3842
423,3596,1788
423,805,28
423,6349,297
423,1263,226
423,2364,713
423,5582,247
423,2310,49
423,6409,2459
423,5125,67
423,4045,2816
423,4663,20935
423,1017,45
423,4330,26190
423,175,33228
423,5285,865
423,4052,76557
423,429,106
423,2914,1191
423,213,26926
423,3290,831
423,5809,7503
423,3562,281
423,518,1007
423,5183,416
423,5431,26075
423,4478,9704
423,328,818
423,781,28149
423,3636,89
423,2955,3799
423,4658,26
423,2980,17972
423,6051,557
423,7087,459
423,4600,31477
423,6441,68479
423,3489,873
423,163,40
423,547,1463
423,5579,179
423,3727,11
423,5171,10282
423,6367,214976
423,1679,189
423,4350,647
423,1588,5016
423,1005,6406
423,1488,5798
423,4572,232
423,1631,1851
423,4948,301
423,4716,3507
423,326,160
423,3572,2291
423,5668,627
423,148,43
423,3782,4402
423,4123,281
423,4309,8908
423,4687,59084
423,2188,1601
423,145,141
423,1595,21277
423,6788,703
423,3128,38593
423,4958,531
423,5424,239
423,1361,17495
423,4699,61
423,4545,1309
423,4846,41843
423,854,17150
7017,6299,4238
7017,4438,183
7017,6545,31
7017,361,734
7017,2335,235
7017,6631,3579
7017,4659,3918
7017,5967,944
7017,5743,194
7017,667,13
7017,1083,2558
7017,823,1008
7017,5205,393
7017,537,4514
7017,4961,55
7017,223,441
7017,3717,31
7017,2202,493
7017,4013,254
7017,4928,7970
7017,2320,394
7017,4204,853
7017,3920,112
7017,1395,190
7017,4701,650
7017,4460,70
7017,709,807
7017,1411,1298
7017,6775,967
7017,321,181
7017,438,71
7017,5567,68
7017,5108,1507
7017,4084,718
7017,4744,2296
7017,158,79845
7017,2947,63403
7017,345,764
7017,5569,290
7017,88,293
7017,2331,4807
7017,4150,9103
7017,6791,529
7017,6140,57
7017,1426,57811
7017,1608,502
7017,1390,33
7017,4243,628
7017,960,720
7017,5096,1145
7017,4494,8024
7017,5027,5847
7017,3839,260
7017,2793,47
7017,5328,1002
7017,4343,265
7017,4625,35
7017,975,5324
7017,86,97
7017,3133,13196
7017,1018,127
7017,1664,2073
7017,5535,687
7017,1027,399
7017,5526,112
7017,4444,690
7017,6032,1078
7017,1138,442
7017,6756,1222
7017,1111,120
7017,4966,856
7017,1645,51
7017,1768,62
7017,3840,485
7017,302,13016
7017,6287,36
7017,991,704
7017,4615,13933
7017,6131,38308
7017,1458,17081
7017,4733,1225
7017,483,3511
7017,5676,26845
7017,4620,157
7017,4469,3279
7017,1430,1729
7017,3720,819
7017,3860,406
7017,6004,11982
7017,1895,179
7017,1368,1760
7017,1089,976
7017,1041,623
7017,3632,149
7017,510,95
7017,3596,146
7017,6349,134
7017,2364,11
7017,5582,43
7017,6409,500
7017,4045,419
7017,4663,4971
7017,4330,4975
7017,175,8416
7017,5285,409
7017,4052,31592
7017,2914,167
7017,213,146
7017,3290,1296
7017,518,662
7017,5183,168
7017,5431,3029
7017,4478,3045
7017,328,353
7017,781,4182
7017,3636,15
7017,2955,2112
7017,4658,74
7017,2980,3395
7017,7087,44
7017,4600,12976
7017,6441,19996
7017,163,15
7017,547,499
7017,5579,44
7017,3727,607
7017,5171,3453
7017,6367,56824
7017,4350,74
7017,1588,2305
7017,1005,679
7017,4948,439
7017,4716,98
7017,326,96
7017,3572,105
7017,3782,1620
7017,4123,12
7017,4309,1078
7017,4687,3450
7017,1595,7525
7017,3041,645
7017,3128,4625
7017,5424,155
7017,1361,9441
7017,4545,372
7017,4846,22702
7017,854,2517
5345,6299,10806
5345,4438,393
5345,361,917
5345,2335,364
5345,6631,5090
5345,4659,2830
5345,5967,1351
5345,5743,278
5345,1033,17
5345,1083,10498
5345,823,595
5345,5205,3014
5345,537,8416
5345,4961,199
5345,223,699
5345,3717,17
5345,2202,869
5345,4013,24
5345,4928,7488
5345,2320,644
5345,4204,2393
5345,3920,76
5345,1395,217
5345,4701,731
5345,1783,89
5345,4460,52
5345,4521,72
5345,1411,1292
5345,6775,335
5345,321,691
5345,438,98
5345,5567,13
5345,5108,4718
5345,4084,235
5345,4744,2083
5345,158,83106
5345,2947,48427
5345,345,401
5345,5569,198
5345,88,111
5345,2331,3483
5345,4150,8960
5345,6791,210
5345,6140,169
5345,1426,62925
5345,1608,686
5345,1390,128
5345,4243,449
5345,960,560
5345,5096,743
5345,4494,4584
5345,5027,5466
5345,3839,401
5345,5328,423
5345,4343,546
5345,975,4098
5345,86,89
5345,3133,15720
5345,1018,144
5345,1664,1702
5345,3035,48
5345,5535,281
5345,6337,26
5345,1027,197
5345,5526,270
5345,4444,953
5345,6032,1970
5345,1138,928
5345,6756,287
5345,1111,23
5345,4966,3382
5345,1645,35
5345,3840,175
5345,302,14665
5345,6287,145
5345,991,718
5345,4615,22685
5345,6131,33310
5345,1458,23792
5345,4733,640
5345,483,3964
5345,5676,46384
5345,4620,17
5345,6266,153
5345,4469,3479
5345,1430,1208
5345,3720,338
5345,6004,11231
5345,1895,81
5345,1368,875
5345,1041,804
5345,510,393
5345,668,216
5345,3596,295
5345,6349,86
5345,2364,212
5345,6409,98
5345,4045,234
5345,4663,7188
5345,4330,8400
5345,175,9055
5345,5285,426
5345,4052,31854
5345,429,20
5345,2914,1283
5345,213,1109
5345,3290,1250
5345,518,603
5345,5183,193
5345,5431,2518
5345,4478,1204
5345,328,476
5345,781,10506
5345,3636,15
5345,2955,1101
5345,4658,246
5345,2980,546
5345,6051,200
5345,7087,131
5345,4600,19021
5345,6441,27371
5345,547,1012
5345,5579,30
5345,3727,306
5345,5171,2617
5345,6367,54581
5345,4350,71
5345,1588,1543
5345,1005,478
5345,1488,1352
5345,4948,23
5345,4716,24
5345,326,336
5345,3572,267
5345,148,63
5345,3782,942
5345,4123,12
5345,4309,3333
5345,4687,2175
5345,2188,48
5345,1595,6976
5345,3041,184
5345,3128,12467
5345,5424,87
5345,1361,18412
5345,4545,52
5345,4846,22820
5345,854,7111
4930,6299,830
4930,4438,30
4930,361,50
4930,2335,232
4930,6631,581
4930,4659,17
4930,5967,87
4930,5743,142
4930,1083,1297
4930,823,58
4930,5205,767
4930,537,371
4930,223,45
4930,2202,122
4930,4928,770
4930,4204,213
4930,1395,48
4930,4701,224
4930,1783,96
4930,1411,221
4930,321,114
4930,5567,15
4930,4084,10
4930,4744,27
4930,158,7305
4930,2947,7010
4930,345,309
4930,2331,24
4930,4150,186
4930,6140,17
4930,1426,6065
4930,1608,137
4930,5096,53
4930,4494,233
4930,5027,687
4930,3839,309
4930,4343,25
4930,975,71
4930,3133,1778
4930,5190,29
4930,1018,79
4930,1664,470
4930,5535,21
4930,4444,148
4930,6032,36
4930,1138,118
4930,6756,114
4930,4966,94
4930,1645,18
4930,3840,68
4930,302,1112
4930,4615,2846
4930,6131,2041
4930,1458,3289
4930,483,1288
4930,5676,5606
4930,4620,10
4930,4469,39
4930,1430,55
4930,6004,1201
4930,1368,138
4930,1041,36
4930,3632,81
4930,510,75
4930,668,37
4930,3596,43
4930,6409,17
4930,4663,596
4930,4330,1687
4930,175,195
4930,5285,296
4930,4052,630
4930,2914,183
4930,213,59
4930,3290,217
4930,5809,23
4930,518,323
4930,5431,285
4930,4478,21
4930,781,1144
4930,3636,16
4930,2955,132
4930,4658,15
4930,2980,403
4930,4600,1831
4930,6441,1416
4930,547,14
4930,5171,112
4930,6367,2105
4930,1679,17
4930,4350,10
4930,1588,383
4930,1005,10
4930,4716,35
4930,326,95
4930,3572,190
4930,3782,17
4930,4123,31
4930,4687,547
4930,2188,25
4930,1595,53
4930,3128,110
4930,4958,10
4930,5424,10
4930,1361,767
4930,4846,2821
4930,854,667
4702,6299,339
4702,4438,19
4702,361,51
4702,2335,139
4702,6631,253
4702,4659,25
4702,5967,21
4702,5743,42
4702,1083,94
4702,823,53
4702,5205,156
4702,537,94
4702,2202,103
4702,4928,499
4702,4204,78
4702,1395,15
4702,4701,991
4702,1411,174
4702,321,100
4702,5567,26
4702,4084,26
4702,4744,33
4702,158,4666
4702,2947,4959
4702,345,205
4702,88,12
4702,2331,118
4702,4150,30
4702,1426,3515
4702,1608,217
4702,960,46
4702,5096,66
4702,4494,72
4702,5027,473
4702,3839,205
4702,4343,25
4702,975,177
4702,3133,1061
4702,5190,15
4702,1018,72
4702,1664,194
4702,5535,12
4702,4444,136
4702,1138,26
4702,6756,46
4702,4966,23
4702,3840,43
4702,302,169
4702,4615,1403
4702,6131,663
4702,1458,1343
4702,483,456
4702,5676,3965
4702,4620,10
4702,4469,113
4702,1430,33
4702,6004,660
4702,1368,91
4702,510,54
4702,668,34
4702,3596,66
4702,6409,17
4702,4663,269
4702,4330,536
4702,175,145
4702,4052,930
4702,2914,65
4702,213,46
4702,3290,90
4702,518,139
4702,5431,265
4702,4478,12
4702,781,447
4702,2955,103
4702,2980,261
4702,4600,573
4702,6441,923
4702,547,17
4702,5171,138
4702,6367,2166
4702,1588,133
4702,1005,10
4702,326,480
4702,3572,105
4702,148,10
4702,4687,525
4702,1595,83
4702,3128,401
4702,1361,604
4702,4846,1192
4702,854,197
5558,6299,21772
5558,4438,73
5558,361,2259
5558,2335,2899
5558,6631,7692
